Const-Year,ID_Count,Var1
1960,24,functional
1960,6,functional-needs-repair
1960,72,non-functional
1961,2,functional
1961,3,functional-needs-repair
1961,16,non-functional
1962,7,functional
1962,1,functional-needs-repair
1962,22,non-functional
1963,31,functional
1963,6,functional-needs-repair
1963,48,non-functional
1964,7,functional
1964,1,functional-needs-repair
1964,32,non-functional
1965,11,functional
1965,1,functional-needs-repair
1965,7,non-functional
1966,6,functional
1966,11,non-functional
1967,31,functional
1967,17,functional-needs-repair
1967,40,non-functional
1968,22,functional
1968,4,functional-needs-repair
1968,51,non-functional
1969,15,functional
1969,3,functional-needs-repair
1969,41,non-functional
1970,99,functional
1970,15,functional-needs-repair
1970,297,non-functional
1971,82,functional
1971,6,functional-needs-repair
1971,57,non-functional
1972,178,functional
1972,68,functional-needs-repair
1972,462,non-functional
1973,55,functional
1973,8,functional-needs-repair
1973,121,non-functional
1974,234,functional
1974,39,functional-needs-repair
1974,403,non-functional
1975,144,functional
1975,41,functional-needs-repair
1975,252,non-functional
1976,85,functional
1976,52,functional-needs-repair
1976,277,non-functional
1977,62,functional
1977,10,functional-needs-repair
1977,130,non-functional
1978,426,functional
1978,97,functional-needs-repair
1978,514,non-functional
1979,41,functional
1979,12,functional-needs-repair
1979,139,non-functional
1980,258,functional
1980,60,functional-needs-repair
1980,493,non-functional
1981,85,functional
1981,11,functional-needs-repair
1981,142,non-functional
1982,236,functional
1982,54,functional-needs-repair
1982,454,non-functional
1983,187,functional
1983,21,functional-needs-repair
1983,280,non-functional
1984,365,functional
1984,66,functional-needs-repair
1984,348,non-functional
1985,324,functional
1985,84,functional-needs-repair
1985,537,non-functional
1986,212,functional
1986,34,functional-needs-repair
1986,188,non-functional
1987,143,functional
1987,37,functional-needs-repair
1987,122,non-functional
1988,245,functional
1988,42,functional-needs-repair
1988,234,non-functional
1989,165,functional
1989,14,functional-needs-repair
1989,137,non-functional
1990,466,functional
1990,59,functional-needs-repair
1990,429,non-functional
1991,141,functional
1991,17,functional-needs-repair
1991,166,non-functional
1992,361,functional
1992,41,functional-needs-repair
1992,238,non-functional
1993,285,functional
1993,34,functional-needs-repair
1993,289,non-functional
1994,380,functional
1994,43,functional-needs-repair
1994,315,non-functional
1995,593,functional
1995,75,functional-needs-repair
1995,346,non-functional
1996,386,functional
1996,48,functional-needs-repair
1996,377,non-functional
1997,291,functional
1997,67,functional-needs-repair
1997,286,non-functional
1998,542,functional
1998,87,functional-needs-repair
1998,337,non-functional
1999,694,functional
1999,47,functional-needs-repair
1999,238,non-functional
2000,"1,279",functional
2000,136,functional-needs-repair
2000,676,non-functional
2001,331,functional
2001,37,functional-needs-repair
2001,172,non-functional
2002,692,functional
2002,58,functional-needs-repair
2002,325,non-functional
2003,828,functional
2003,71,functional-needs-repair
2003,387,non-functional
2004,704,functional
2004,70,functional-needs-repair
2004,349,non-functional
2005,578,functional
2005,89,functional-needs-repair
2005,344,non-functional
2006,883,functional
2006,135,functional-needs-repair
2006,453,non-functional
2007,"1,081",functional
2007,116,functional-needs-repair
2007,390,non-functional
2008,"1,839",functional
2008,127,functional-needs-repair
2008,647,non-functional
2009,"1,774",functional
2009,138,functional-needs-repair
2009,621,non-functional
2010,"2,023",functional
2010,90,functional-needs-repair
2010,532,non-functional
2011,943,functional
2011,78,functional-needs-repair
2011,235,non-functional
2012,726,functional
2012,51,functional-needs-repair
2012,307,non-functional
2013,102,functional
2013,1,functional-needs-repair
2013,73,non-functional
